CTE(0.05,0.001,0.5)	Steer_value(0.05,0.001,0.5)	CTE(0.05,0.0001,0.5)	Steer_value(0.05,0.0001,0.5)	CTE(0.05,0.001,1)	Steer_value(0.05,0.001,1)	CTE(0.05,0.001, 0.7)	Steer_value(0.05,0.001, 0.7)	CTE(0.05,0.0001, 1)	Steer_value(0.05,0.0001, 1)	CTE(0.1,0.0001, 1)	Steer_value(0.1,0.0001, 1)
0.0914	-0.0305446	0.5432	-0.0287763	0.0695	-0.0399893	0.0539	-0.036648	0.5229	-0.0227521	0.2835	-0.0580705
0.0718	-0.0284864	0.5247	-0.0270538	0.0621	-0.0298814	0.0483	-0.0325663	0.4998	-0.0121471	0.2971	-0.0498602
0.0483	-0.0254097	0.5024	-0.024089	0.0485	-0.0230499	0.039	-0.0295503	0.4718	-0.00589425	0.2996	-0.0390402
0.0212	-0.0222759	0.4716	-0.0183462	0.0251	-0.012105	0.0225	-0.0237078	0.4419	-0.00254344	0.2924	-0.0286494
-0.0151	-0.0158458	0.437	-0.0147599	-0.0035	-0.0054715	0.0048	-0.0219876	0.4181	-0.00749525	0.2758	-0.017617
-0.0479	-0.0159079	0.4065	-0.0153255	-0.029	-0.0072675	-0.0201	-0.0156825	0.4584	-0.0736561	0.2567	-0.0132327
-0.0887	-0.0097792	0.3754	-0.0135081	-0.0637	0.0037312	-0.0432	-0.0157443	0.5404	-0.11951	0.2301	-0.00309568
-0.1232	-0.011081	0.34	-0.00962206	0.0134	-0.111937	-0.0672	-0.0138471	0.6342	-0.136064	0.2066	-0.00386634
-0.1245	-0.0274915	0.3657	-0.0414936	0.0978	-0.123555	-0.0948	-0.0098523	0.6929	-0.103968	0.2237	-0.0461987
-0.0537	-0.0670278	0.4357	-0.0671872	0.187	-0.133002	-0.0429	-0.0680544	0.7325	-0.0869211	0.3088	-0.12274
0.0312	-0.078354	0.5225	-0.0799794	0.2396	-0.0992716	0.0533	-0.103928	0.7393	-0.054535	0.3879	-0.124688
0.0948	-0.0709788	0.5873	-0.0722782	0.2685	-0.0772851	0.1414	-0.102804	0.7261	-0.0339476	0.4508	-0.114823
0.1475	-0.0683113	0.6406	-0.0692572	0.2744	-0.0548545	0.2098	-0.0926439	0.69	-0.00931163	0.492	-0.0972927
0.1947	-0.068116	0.6882	-0.0688561	0.261	-0.0351455	0.2467	-0.0726856	0.6388	0.00828449	0.5116	-0.0777038
0.227	-0.062508	0.7173	-0.0611328	0.2243	-0.0102348	0.2664	-0.061897	0.5905	0.00774044	0.5042	-0.0500142
0.234	-0.050442	0.7261	-0.0514954	0.1812	-0.001861	0.2639	-0.0464959	0.533	0.0197621	0.4706	-0.0205013
0.2294	-0.0446414	0.7241	-0.0460678	0.1219	0.0171821	0.2414	-0.0316123	0.4796	0.0182842	0.4165	0.00536705
0.2088	-0.0358202	0.7062	-0.0372934	0.0605	0.0222916	0.2095	-0.0236468	0.4413	0.00505505	0.3621	0.0110708
0.1813	-0.0311765	0.6804	-0.0321215	0.0127	0.0110689	0.1687	-0.0155455	0.4051	0.00472454	0.2937	0.0318815
