CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1	CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
0.1301	0.0784505	-0.0052	0.185019	0.0064	0.167357	-0.1229	-0.025155	-0.1206	-0.0146255
0.0439	0.129105	-0.0808	0.127343	-0.0995	0.195174	-0.0344	-0.190223	-0.0417	-0.171665
-0.0456	0.147003	-0.1168	0.0488535	-0.1607	0.10897	0.0658	-0.223636	0.0622	-0.229444
-0.1297	0.146404	0.0665	-0.433872	0.04	-0.465184	0.1288	-0.16488	0.131	-0.175175
-0.1523	0.020727	0.2564	-0.471289	0.2402	-0.488639	0.1721	-0.135476	0.1815	-0.149202
0.0582	-0.494334	0.4179	-0.432283	0.4259	-0.481324	0.1809	-0.075337	0.195	-0.0851975
0.2474	-0.473545	0.4966	-0.269337	0.485	-0.223526	0.1642	-0.028254	0.1817	-0.03627
0.4027	-0.423004	0.473	-0.0530937	0.451	-0.0248384	0.134	-0.001	0.1526	-0.005101
0.4713	-0.251523	0.3734	0.117338	0.3548	0.116616	0.0952	0.01866	0.1028	0.037621
0.4355	-0.0301645	0.2327	0.219834	0.2335	0.183415	0.0406	0.053449	0.0458	0.057192
0.3241	0.140343	0.062	0.303132	0.0928	0.240853	-0.0146	0.061226	-0.0089	0.0596605
0.1759	0.234528	-0.0504	0.194341	0.0049	0.140512	-0.0617	0.0526065	-0.0537	0.047485
0.0038	0.305351	-0.1102	0.0913878	-0.0399	0.0554574	-0.09	0.0226125	-0.085	0.027366
-0.1015	0.178214	-0.1166	-0.0196344	-0.0461	-0.0247664	-0.1126	0.0156275	-0.0996	-0.000444
-0.1525	0.0710665	-0.0843	-0.104527	-0.0309	-0.0714686	-0.1234	-0.0036995	-0.1057	-0.0144835
-0.1395	-0.064196	-0.021	-0.17716	0.005	-0.119257	-0.1246	-0.0202125	-0.1051	-0.02609
-0.0947	-0.135878	0.0294	-0.156207	0.0338	-0.10787	-0.1197	-0.031182	-0.0988	-0.036612
-0.0422	-0.158137	0.0607	-0.120035	0.0501	-0.0836764	-0.1129	-0.0348535	-0.0901	-0.0415255
-0.0008	-0.139791	0.0653	-0.0647127	0.0482	-0.0453248	-0.1038	-0.0395665	-0.0821	-0.040815
0.0193	-0.09757	0.045	-0.0101217	0.0298	-0.0085264	-0.0972	-0.0353725	-0.0769	-0.0360145
0.0157	-0.0474465	0.0835	-0.138472	0.0872	-0.174769	-0.0922	-0.0326315	0.1006	-0.367958
-0.0099	0.001875	0.1265	-0.153462	0.0695	-0.0150738	0.088	-0.370055	0.0284	0.0900245
0.0494	-0.183778	0.2088	-0.246494	0.1604	-0.254363	0.0492	0.0285545	0.1178	-0.212173
0.0791	-0.125577	0.2681	-0.206114	0.2356	-0.230888	0.1557	-0.246544	0.1972	-0.204686
0.159	-0.24138	0.268	-0.0821664	0.2794	-0.170763	0.244	-0.2256	0.2476	-0.159773
0.2156	-0.200321	0.2036	0.0599808	0.2751	-0.0697868	0.289	-0.154505	0.2551	-0.084728
0.2105	-0.071191	0.1102	0.131758	0.2151	0.053953	0.302	-0.099975	0.2238	-0.012251
