CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1
-0.1511	-0.0431025	-0.1996	0.0334485	-0.0625	-0.248896
-0.2287	0.106793	-0.3002	0.153101	-0.0719	-0.064504
-0.3384	0.189059	-0.3953	0.154149	-0.132	0.049442
-0.4232	0.149061	-0.4746	0.131909	-0.2427	0.169471
-0.4786	0.096362	-0.5259	0.0808425	-0.3383	0.14991
-0.5021	0.0347025	-0.5493	0.0267084	-0.4262	0.14514
-0.4888	-0.0417295	-0.5413	-0.0385677	-0.4718	0.062726
-0.4644	-0.0656455	-0.5153	-0.0779418	-0.4755	-0.023869
-0.4199	-0.111096	-0.482	-0.0958218	-0.4438	-0.101125
-0.3853	-0.0925315	-0.4518	-0.0915804	-0.4111	-0.106327
-0.3615	-0.0709	-0.4314	-0.0721542	-0.3853	-0.0941626
-0.3436	-0.05894	-0.4067	-0.0829281	-0.3717	-0.0694312
-0.2601	-0.205419	-0.3231	-0.215681	-0.3668	-0.0510156
-0.1848	-0.196311	-0.2495	-0.202764	-0.3023	-0.183311
-0.1368	-0.144057	-0.202	-0.153048	-0.2523	-0.158356
-0.1277	-0.062821	-0.2069	-0.0417996	-0.2121	-0.142176
-0.1539	0.0152225	-0.2487	0.0414525	-0.2054	-0.0722194
-0.2043	0.073112	-0.3268	0.128035	-0.2324	0.0022554
-0.2753	0.126269	-0.4068	0.142845	-0.2939	0.0826732
-0.3265	0.092465	-0.4545	0.0821028	-0.3658	0.113873
-0.361	0.06334	-0.4744	0.027534	-0.4073	0.0558274
-0.3638	-0.001075	-0.4681	-0.0268377	-0.4414	0.0452622
-0.3458	-0.045186	-0.4371	-0.0811164	-0.4584	0.012309
-0.3136	-0.077302	-0.4027	-0.0911763	-0.4556	-0.0286958
-0.2772	-0.089104	-0.3709	-0.0884196	-0.4364	-0.064567
-0.2397	-0.0947155	-0.3491	-0.0689883	-0.4138	-0.0735914
-0.2198	-0.0590445	-0.3398	-0.0428349	-0.3935	-0.0704104
-0.215	-0.0268355	-0.3456	-0.0093921	-0.3796	-0.0578792
-0.2247	0.005902	-0.3603	0.0121428	-0.38	-0.0270412
-0.2456	0.033158	-0.3822	0.0310374	-0.3909	-0.0029014
-0.2652	0.034106	-0.3988	0.0230958	-0.4077	0.01232
-0.2809	0.0292045	-0.4097	0.0136629	-0.4264	0.0194068
-0.284	0.0045365	-0.4098	-0.0077757	-0.4482	0.0294292
-0.3142	0.0666415	-0.4164	0.0079155	-0.4557	0.0012106
-0.5647	0.562155	-0.6131	0.432569	-0.4551	-0.0149612
0.1949	-1.65118	-0.2072	-0.880978	-0.6637	0.450718
0.3122	-0.317988	0.1626	-0.850031	-0.3794	-0.617729
0.6098	-0.735379	0.4859	-0.792635	0.1027	-1.09117
0.8734	-0.699978	0.6999	-0.590885	0.3509	-0.630462
1.0657	-0.578653	0.8113	-0.391227	0.5501	-0.552566
1.0694	-0.188384	0.7745	-0.0779142	0.6541	-0.366435
0.9382	0.105959	0.6135	0.200385	0.637	-0.111347
0.6867	0.385336	0.4363	0.25436	0.5402	0.066559
0.4651	0.346812	0.2362	0.325754	0.3976	0.179056
0.254	0.348824	0.0905	0.228726	0.2177	0.278538
0.1356	0.167684	0.0239	0.0705366	0.0695	0.229613
0.1106	-0.026009	0.0238	-0.0691728	-0.0152	0.106458
0.1402	-0.144922	0.0598	-0.149482	-0.034	-0.0296082
