CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
-0.1239	0.0215465	-0.5328	-0.141061
-0.2138	0.0845235	-0.3902	-0.299741
-0.2888	0.0681475	-0.2165	-0.374616
-0.3577	0.067224	-0.0657	-0.350901
-0.4186	0.062225	-0.0193	-0.168375
-0.4813	0.0753955	-0.0529	-0.0198672
-0.527	0.0529145	-0.1513	0.109942
-0.5528	0.0229545	-0.2835	0.189198
-0.5597	-0.007439	-0.4436	0.262622
-0.5127	-0.107535	-0.5668	0.216088
-0.3726	-0.290065	-0.5676	0.000972
-0.2647	-0.243729	-0.4472	-0.227611
-0.185	-0.201608	-0.2966	-0.297374
-0.1357	-0.152125	-0.1576	-0.291755
-0.1133	-0.105827	-0.0512	-0.245383
-0.1236	-0.045113	-0.0283	-0.0975759
-0.1659	0.0183925	-0.0882	0.0594459
-0.2304	0.0672445	-0.1826	0.134517
-0.287	0.0612515	-0.2833	0.160491
-0.3395	0.061869	-0.3513	0.112953
-0.381	0.048954	-0.4102	0.107332
-0.3265	-0.128753	-0.4403	0.0630672
-0.2421	-0.191491	-0.4316	-0.0039324
-0.1686	-0.179848	-0.3958	-0.0534462
-0.131	-0.119085	-0.34	-0.0930822
-0.1155	-0.0805875	-0.2368	-0.188655
-0.1228	-0.0380575	-0.0572	-0.347212
-0.1527	0.006974	0.0662	-0.261456
-0.1874	0.020715	0.1333	-0.169368
-0.235	0.050822	0.1346	-0.0522951
-0.2725	0.0385045	0.0817	0.0508776
-0.3117	0.047827	-0.0244	0.159589
-0.3356	0.024833	-0.1191	0.151505
-0.3537	0.0183335	-0.1968	0.132
-0.3596	-0.0011205	-0.237	0.0714573
-0.3586	-0.0118675	-0.258	0.0417393
-0.3496	-0.0255995	-0.2439	-0.0209376
-0.3205	-0.063669	-0.2071	-0.0643497
-0.2254	-0.192754	-0.1684	-0.0708981
-0.1145	-0.233929	-0.1182	-0.0965583
-0.0445	-0.168487	-0.0727	-0.092904
0.0085	-0.144289	-0.0389	-0.0755499
0.0062	-0.0445045	-0.0208	-0.0492747
-0.0336	0.0279395	-0.0184	-0.0211371
-0.0824	0.0504075	-0.0318	0.0091971
-0.1484	0.0900295	-0.0514	0.0231717
-0.1984	0.0682215	-0.1321	0.144025
-0.2392	0.0577535	0.5838	-1
-0.2697	0.044222	0.3004	0.449027
-0.2927	0.0349455	0.3631	-0.184745
-0.2991	0.007329	0.5274	-0.392088
-0.2928	-0.014823	0.7671	-0.563476
-0.2789	-0.0287765	0.8994	-0.394126
-0.2552	-0.0479845	0.9249	-0.21327
-0.2339	-0.045051	0.8485	-0.0283188
-0.2134	-0.045004	0.6572	0.195542
