CTE(0.1)	Steer_value(0.1,0,0)	CTE(0.05)	Steer_value(0.05,0,0)	CTE(0.02)	Steer_value(0.02,0,0)
-0.9205	0.09205	0.8998	-0.04499	1.8655	-0.03731
-0.7915	0.07915	0.9628	-0.04814	1.9818	-0.039636
-0.6829	0.06829	1.017	-0.05085	2.0743	-0.041486
-0.4881	0.04881	1.0543	-0.052715	2.179	-0.04358
-0.2986	0.02986	1.0883	-0.054415	2.2605	-0.04521
-0.0877	0.00877	1.1068	-0.05534	2.3362	-0.046724
0.1886	-0.01886	1.1162	-0.05581	2.4187	-0.048374
0.4834	-0.04834	1.1115	-0.055575	2.4799	-0.049598
0.7884	-0.07884	1.0968	-0.05484	2.5532	-0.051064
1.1028	-0.11028	1.0658	-0.05329	2.6116	-0.052232
1.4115	-0.14115	1.0318	-0.05159	2.7117	-0.054234
1.7414	-0.17414	1.0493	-0.052465	2.8635	-0.05727
2.1101	-0.21101	1.0943	-0.054715	2.98	-0.0596
2.3836	-0.23836	1.1375	-0.056875	3.0855	-0.06171
2.6587	-0.26587	1.1629	-0.058145	3.1798	-0.063596
2.8331	-0.28331	1.1799	-0.058995	3.2772	-0.065544
2.9491	-0.29491	1.1816	-0.05908	3.3571	-0.067142
3.0027	-0.30027	1.1711	-0.058555	3.4099	-0.068198
2.9556	-0.29556	1.1438	-0.05719	3.4497	-0.068994
2.836	-0.2836	1.1092	-0.05546	3.4761	-0.069522
2.643	-0.2643	1.054	-0.0527	3.4896	-0.069792
2.3782	-0.23782	0.9967	-0.049835	3.4854	-0.069708
2.0443	-0.20443	0.9145	-0.045725	3.4668	-0.069336
1.5589	-0.15589	0.8185	-0.040925	3.4254	-0.068508
1.0914	-0.10914	0.7286	-0.03643	3.3749	-0.067498
0.4674	-0.04674	0.61	-0.0305	3.295	-0.0659
-0.0933	0.00933	0.5033	-0.025165	3.2126	-0.064252
-0.6785	0.06785	0.3924	-0.01962	3.1329	-0.062658
-1.2397	0.12397	0.3244	-0.01622	3.1247	-0.062494
-1.7983	0.17983	0.3509	-0.017545	3.1473	-0.062946
-2.2327	0.22327	0.3807	-0.019035	3.1515	-0.06303
-2.5541	0.25541	0.4044	-0.02022	3.1424	-0.062848
-2.9112	0.29112	0.4317	-0.021585	3.1139	-0.062278
-3.2595	0.32595	0.4535	-0.022675	3.0753	-0.061506
-3.5014	0.35014	0.4743	-0.023715	3.0235	-0.06047
-3.5937	0.35937	0.5014	-0.02507	2.9589	-0.059178
-3.6223	0.36223	0.5156	-0.02578	2.8472	-0.056944
-3.5513	0.35513	0.5482	-0.02741	2.7926	-0.055852
-3.3714	0.33714	0.6565	-0.032825	2.7537	-0.055074
-2.9395	0.29395	0.7517	-0.037585	2.7253	-0.054506
-2.4632	0.24632	0.8438	-0.04219	2.6696	-0.053392
-1.8962	0.18962	0.9315	-0.046575	2.6117	-0.052234
-1.2495	0.12495	1.0295	-0.051475	2.5436	-0.050872
-0.3856	0.03856	1.1038	-0.05519	2.4479	-0.048958
0.5541	-0.05541	1.1695	-0.058475	2.3568	-0.047136
1.5414	-0.15414	1.2251	-0.061255	2.2557	-0.045114
2.5468	-0.25468	1.2993	-0.064965	2.1762	-0.043524
		1.4479	-0.072395	2.181	-0.04362
		1.6737	-0.083685	2.2159	-0.044318
		1.8132	-0.09066	2.2519	-0.045038
		2.0026	-0.10013	2.284	-0.04568
		2.1398	-0.10699	2.3016	-0.046032
		2.2555	-0.112775	2.3112	-0.046224
		2.3475	-0.117375	2.3097	-0.046194
		2.4135	-0.120675	2.2994	-0.045988
		2.4519	-0.122595	2.2802	-0.045604
		2.4611	-0.123055	2.2523	-0.045046
		2.4399	-0.121995	2.2154	-0.044308
		2.3731	-0.118655	2.1698	-0.043396
		2.2825	-0.114125	2.1155	-0.04231
		2.1604	-0.10802	2.0527	-0.041054
		2.0073	-0.100365	1.9816	-0.039632
		1.784	-0.0892	1.9025	-0.03805
		1.6262	-0.08131	1.8339	-0.036678
		1.4802	-0.07401	1.8729	-0.037458
		1.3741	-0.068705	1.9325	-0.03865
		1.2464	-0.06232	1.9954	-0.039908
		1.0992	-0.05496	2.0321	-0.040642
		0.9346	-0.04673	2.0718	-0.041436
		0.7552	-0.03776	2.1045	-0.04209
		0.5634	-0.02817	2.132	-0.04264
		0.4882	-0.02441	2.2822	-0.045644
		0.4896	-0.02448	2.5042	-0.050084
		0.4846	-0.02423	2.718	-0.05436
		0.475	-0.02375	2.9221	-0.058442
		0.4616	-0.02308	3.1521	-0.063042
		0.445	-0.02225	3.3641	-0.067282
		0.4257	-0.021285	3.4947	-0.069894
		0.4039	-0.020195	3.6444	-0.072888
		0.3803	-0.019015	3.7654	-0.075308
		0.422	-0.0211	3.9485	-0.07897
		0.6512	-0.03256	4.1286	-0.082572
		0.8834	-0.04417	4.3881	-0.087762
		1.113	-0.05565	4.6243	-0.092486
		1.3372	-0.06686	4.8422	-0.096844
		1.5533	-0.077665		
		1.7584	-0.08792		
		2.0115	-0.100575		
		2.3595	-0.117975		
		2.6926	-0.13463		
		3.0012	-0.15006		
		3.2796	-0.16398		
		3.5222	-0.17611		
		3.7584	-0.18792		
		3.8779	-0.193895		
		3.9685	-0.198425		
		3.9903	-0.199515		
		3.9534	-0.19767		
		3.9815	-0.199075		
		4.0556	-0.20278		
		4.1495	-0.207475		
		4.2036	-0.21018		
		4.1853	-0.209265		
		4.0816	-0.20408		
		3.928	-0.1964		
		3.7207	-0.186035		
		3.5022	-0.17511		
		3.3496	-0.16748		
		3.1645	-0.158225		
		2.9312	-0.14656		
		2.7104	-0.13552		
		2.394	-0.1197		
		2.0374	-0.10187		
		1.8359	-0.091795		
		1.7236	-0.08618		
		1.5793	-0.078965		
		1.4059	-0.070295		
		1.2061	-0.060305		
		0.9832	-0.04916		
		0.7405	-0.037025		
		0.4813	-0.024065		
		0.2089	-0.010445		
		-0.0731	0.003655		
		-0.3852	0.01926		
		-0.407	0.02035		
		-0.3855	0.019275		
		-0.3594	0.01797		
		-0.3162	0.01581		
		-0.269	0.01345		
		-0.1986	0.00993		
		-0.1282	0.00641		
		-0.0376	0.00188		
		0.1727	-0.008635		
		0.4488	-0.02244		
		0.6862	-0.03431		
		0.927	-0.04635		
		1.1671	-0.058355		
		1.4361	-0.071805		
		1.8425	-0.092125		
		2.2591	-0.112955		
		2.6584	-0.13292		
		3.0338	-0.15169		
		3.3795	-0.168975		
		3.6819	-0.184095		
		3.9598	-0.19799		
		4.1195	-0.205975		
		4.2059	-0.210295		
		4.1999	-0.209995		
		4.1199	-0.205995		
		3.9391	-0.196955		
		3.8123	-0.190615		
		3.6537	-0.182685		
		3.4369	-0.171845		
		3.1695	-0.158475		
		2.8668	-0.14334		
		2.4549	-0.122745		
		2.0696	-0.10348		
		1.648	-0.0824		
		1.2051	-0.060255		
		0.7364	-0.03682		
		0.3479	-0.017395		
		-0.1404	0.00702		
		-0.5591	0.027955		
		-1.0664	0.05332		
		-1.4848	0.07424		
		-1.9719	0.098595		
		-2.3576	0.11788		
		-2.7838	0.13919		
		-3.0994	0.15497		
		-3.3716	0.16858		
		-3.5824	0.17912		
		-3.7446	0.18723		
		-3.696	0.1848		
		-3.5482	0.17741		
		-3.3339	0.166695		
		-3.0624	0.15312		
		-2.7358	0.13679		
		-2.3538	0.11769		
		-1.918	0.0959		
		-1.4319	0.071595		
		-0.9001	0.045005		
		-0.3286	0.01643		
		0.2756	-0.01378		
		1.0319	-0.051595		
		1.6784	-0.08392		
		2.3298	-0.11649		
		2.9755	-0.148775		
		3.5982	-0.17991		
		4.1665	-0.208325		
		4.7086	-0.23543		
		5.2299	-0.261495		
		5.6029	-0.280145		
		7.4153	-0.370765		
		6.7915	-0.339575		
