CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.005-2	SteerValue-0.12-0.005-2	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
-0.4167	-0.237423	-0.1584	-0.00197	-0.49	0.130865
-0.285	-0.321942	-0.2477	0.123384	-0.5302	0.0685
-0.1662	-0.308277	-0.3386	0.139186	-0.5398	0.017271
-0.126	-0.147411	-0.4209	0.133966	-0.518	-0.039275
-0.1432	-0.024091	-0.4802	0.097483	-0.4779	-0.0746375
-0.2152	0.100705	-0.5122	0.049284	-0.4203	-0.110948
-0.3121	0.166183	-0.5177	-0.0004675	-0.3557	-0.129522
-0.3849	0.126234	-0.4971	-0.052654	-0.2047	-0.302138
-0.431	0.077851	-0.4667	-0.0735685	-0.0846	-0.260507
-0.4483	0.0216885	-0.4289	-0.09076	-0.0424	-0.125139
-0.4301	-0.052895	-0.3991	-0.0763405	-0.058	-0.018937
-0.3968	-0.086617	-0.318	-0.187082	-0.1288	0.089563
-0.3585	-0.0999205	-0.2279	-0.214755	-0.2256	0.149107
-0.3202	-0.102915	-0.1607	-0.176215	-0.2984	0.116135
-0.2988	-0.0684995	-0.1326	-0.100725	-0.3469	0.0799495
-0.2743	-0.076578	-0.1421	-0.023674	-0.3679	0.034809
-0.1966	-0.196639	-0.1793	0.0370865	-0.3574	-0.021364
-0.1209	-0.200918	-0.2417	0.096183	-0.3275	-0.0582345
-0.0872	-0.116326	-0.2947	0.0852165	-0.2775	-0.099027
-0.0981	-0.020868	-0.3415	0.08014	-0.2433	-0.0734745
-0.1412	0.05263	-0.3598	0.027135	-0.1978	-0.0982855
-0.1979	0.0889835	-0.3576	-0.012341	-0.1816	-0.0465815
-0.2521	0.091498	-0.3384	-0.046953	-0.1752	-0.0288335
-0.2986	0.082401	-0.2973	-0.0941985	-0.183	-0.0014225
-0.3163	0.0256265	-0.2789	-0.049612	-0.1982	0.0147125
-0.3127	-0.017972	-0.2519	-0.0687925	-0.2164	0.0233785
-0.2921	-0.0546835	-0.238	-0.0430705	-0.2327	0.023078
-0.2626	-0.0756005	-0.2331	-0.024493	-0.262	0.051304
-0.2322	-0.0799775	-0.2381	-0.0029025	-0.5935	0.638011
-0.2077	-0.069489	-0.2508	0.0152755	0.2055	-1
-0.1919	-0.0521555	-0.2618	0.0145045	0.3611	-0.356154
-0.1918	-0.0182385	-0.2694	0.0099635	0.6704	-0.673282
-0.1995	6.30E-05	-0.2684	-0.0060145	0.9411	-0.640991
-0.2173	0.0244955	-0.7559	1	1.1462	-0.553254
-0.2357	0.029142	0.3002	-1	1.177	-0.249095
-0.2445	0.0112605	0.1887	0.165469	1.0795	-0.0118525
-0.2485	0.002903	0.4175	-0.544675	0.9135	0.1268
-0.3164	0.146823	0.6504	-0.584075	0.7229	0.190337
0.5354	-1	0.836	-0.515927	0.5007	0.271378
0.2059	0.629801	0.9235	-0.334844	0.3167	0.223115
0.2905	-0.251414	0.883	-0.0783995	0.1959	0.122871
0.4868	-0.511974	0.7377	0.144948	0.1556	-0.017971
0.6905	-0.55541	0.5817	0.18216	0.1405	-0.0622215
0.8386	-0.460615	0.407	0.238489	0.1498	-0.108006
0.8486	-0.176048	0.2718	0.174353	0.1638	-0.118966
0.734	0.0956935	0.2041	0.046457	0.165	-0.0968945
0.3691	0.663266	0.1762	-0.030676	0.1535	-0.073422
0.2086	0.252243	0.1766	-0.088207	0.1251	-0.0402195
0.0947	0.167578	0.189	-0.11464	0.0629	0.02777
0.0757	-0.029811	0.1949	-0.103322	0.0194	-0.000767
0.1142	-0.155752	0.1818	-0.0646595	-0.0546	0.063286
0.1852	-0.233448	0.1456	-0.0148435	-0.1041	0.0256465
0.2434	-0.214769	0.1016	0.0055285	-0.1511	0.027542
0.2565	-0.122913	0.0626	-0.0001045	-0.1818	0.002795
0.2179	-0.010801	0.0038	0.0465325	-0.1966	-0.023066
0.1545	0.0481145	-0.0435	0.029426	-0.2039	-0.0346705
0.0789	0.082412	-0.0827	0.0183435	-0.2059	-0.042941
-0.0195	0.142198	-0.1177	0.014732	-0.2073	-0.0428165
-0.0745	0.05803	-0.1433	-0.0002795	-0.214	-0.0314025
-0.104	0.00854	-0.1521	-0.032063	-0.2215	-0.027955
-0.1115	-0.0362025	-0.154	-0.044865	-0.2371	-0.0103175
-0.0999	-0.077205	-0.153	-0.05002	-0.2568	0.0007105
-0.0871	-0.0808255	-0.1556	-0.04173	-0.274	-0.0003555
-0.0782	-0.0733125	-0.1632	-0.030002	-0.2893	-0.000493
-0.0813	-0.047334	-0.1761	-0.0169735	-0.3018	-0.002524
-0.0951	-0.0227325	-0.193	-0.0059805	-0.311	-0.005805
-0.1278	0.0215205	-0.2158	0.0096345	-0.3176	-0.008105
